Hindi,English
फायदे ,advantages 
०१.१७० ,०१.१७० 
०१.१३० ,०१.१३० 
बोहेमिया-शैली ,bohemian style 
सांडों ,bulls 
पेशेवरों ,Pros 
०८.५९४ ,०८.५९४ 
०८.०४५ ,०८.०४५ 
तश्मे ,Tashme 
मार्क-अप ,Marck up 
०१.९५९ ,०१.९५९ 
०९.६१० ,०९.६१० 
०५.५२७ ,०५.५२७ 
०५.३३५ ,०५.३३५ 
०२.५३५ ,०२.५३५ 
०२.५०३ ,०२.५०३ 
ब्लैकबोर्ड ,Blackboard 
कन्फ्यूशियस ,confucius 
०६.६८९ ,०६.६८९ 
मास्टरकार्ड ,mastercard 
०६.६४९ ,०६.६४९ 
०४.१७४ ,०४.१७४ 
सीखों ,learn from 
खाओगे ,will you eat 
लिथियम ,Lithium 
ज्वलंत ,vivid 
०७.८३९ ,०७.८३९ 
०७.७६७ ,०७.७६७ 
हथौड़े ,hammers 
०४.६७३ ,०४.६७३ 
शातिर ,vicious 
नकचढा ,Nakchadha 
०३.२१८ ,०३.२१८ 
०३.२४१ ,०३.२४१ 
०३.६०६ ,०३.६०६ 
०७.७७८ ,०७.७७८ 
०७.८०२ ,०७.८०२ 
चूं ,because 
०९.९७६ ,०९.९७६ 
०९.७०३ ,०९.७०३ 
क्रिसेंट ,Crescent 
०९.६६२ ,०९.६६२ 
संचित ,accumulated 
०७.५७६ ,०७.५७६ 
०७.४८८ ,०७.४८८ 
०२.८२८ ,०२.८२८ 
०४.७६३ ,०४.७६३ 
०३.७२६ ,०३.७२६ 
पासो ,trap 
०९.११५ ,०९.११५ 
०१.३६४ ,०१.३६४ 
०८.७६७ ,०८.७६७ 
०५.०९९ ,०५.०९९ 
आग्नेयास्त्रों ,firearms 
०३.९२१ ,०३.९२१ 
एमेच्योर ,amateur 
गुर्गे ,henchmen 
०५.०६१ ,०५.०६१ 
मिजाजी ,temperamental 
०२.६९४ ,०२.६९४ 
सीबीडी ,CBD 
माक्र्स ,Marx 
सूंघने ,to smell 
मारनेवाला ,killer 
केट ,Kate 
०६.७६६ ,०६.७६६ 
०२.४०९ ,०२.४०९ 
०२.३८५ ,०२.३८५ 
स्त्रीत्व ,femininity 
हूकर ,hooker 
रसेल ,Russell 
०९.६१५ ,०९.६१५ 
मिलुंगा ,I will meet 
०८.५२८ ,०८.५२८ 
स्वीकर ,acceptor 
०१.९५२ ,०१.९५२ 
०२.७४६ ,०२.७४६ 
०२.५४१ ,०२.५४१ 
डम्बल ,dumbbell 
फ़ोल्डर ,folder 
०५.३३२ ,०५.३३२ 
०८.४८२ ,०८.४८२ 
अदंडित ,unbroken 
०८.२९३ ,०८.२९३ 
०४.८८९ ,०४.८८९ 
०६.८८७ ,०६.८८७ 
गैंते ,pickaxe 
सूंघो ,smell 
०३.१७१ ,०३.१७१ 
०५.८९९ ,०५.८९९ 
०५.०६५ ,०५.०६५ 
००.४८६ ,००.४८६ 
००.४५४ ,००.४५४ 
०६.१९५ ,०६.१९५ 
फोड़ना ,burst 
चूना ,Lime 
ईस्टर ,Easter 
०४.५७८ ,०४.५७८ 
०६.९२५ ,०६.९२५ 
०६.१६३ ,०६.१६३ 
बहुतायत ,abundance 
पराजयों ,defeats 
रॉक्स ,Rocks 
गैंता ,Ganta 
हिट-गद्दा ,hit-mattress 
०७.८९३ ,०७.८९३ 
गांड ,ass 
संघर्षों ,conflicts 
अपहर्ताओं ,kidnappers 
०७.३६३ ,०७.३६३ 
मनोविज्ञान ,Psychology 
०७.२३७ ,०७.२३७ 
०३.६६६ ,०३.६६६ 
०३.०७० ,०३.०७० 
०२.५५१ ,०२.५५१ 
हरवा ,Harva 
साहित्य ,Material 
०१.४३१ ,०१.४३१ 
अंगरr ,Angarr 
गिनूंगा ,I will count 
सुनांऊ ,tell me 
००.६५० ,००.६५० 
पीडी ,PD 
लोरी ,lullaby 
०२.४९२ ,०२.४९२ 
जातीं ,castes 
संन्यासी ,Sanyasi 
खूबियां ,features 
०१.२४१ ,०१.२४१ 
०८.०८० ,०८.०८० 
पिचकाकर ,deflated 
००.४७९ ,००.४७९ 
०५.१५० ,०५.१५० 
०५.४९२ ,०५.४९२ 
०५.१४४ ,०५.१४४ 
०९.०८७ ,०९.०८७ 
०९.१५८ ,०९.१५८ 
०२.०४९ ,०२.०४९ 
०२.०२५ ,०२.०२५ 
०९.५५५ ,०९.५५५ 
प्लांट ,plant 
०९.५६० ,०९.५६० 
०९.१३८ ,०९.१३८ 
०७.३४६ ,०७.३४६ 
०८.५६२ ,०८.५६२ 
आजमा ,try it 
०२.२५० ,०२.२५० 
०४.६५७ ,०४.६५७ 
०४.६३३ ,०४.६३३ 
डलवाकर ,by pouring 
०२.९४३ ,०२.९४३ 
०२.१८२ ,०२.१८२ 
गिरजाघर ,church 
पुकारे ,call out 
काजुन ,Cajun 
०४.७१९ ,०४.७१९ 
०७.५५० ,०७.५५० 
वरीयता ,preference 
कासानोवा ,casanova 
०४.२५६ ,०४.२५६ 
मैके ,mackey 
००.९३७ ,००.९३७ 
अहानिकर ,harmless 
०५.९५५ ,०५.९५५ 
०४.३२७ ,०४.३२७ 
०३.२५२ ,०३.२५२ 
रेडिंग ,Redding 
०६.५७५ ,०६.५७५ 
०७.५३४ ,०७.५३४ 
०१.४३४ ,०१.४३४ 
बुवाई ,sowing 
अभियुक्तों ,the accused 
ब्रूक्सी ,bruxy 
पहुचोगे ,will reach 
फुलकी ,Phulki 
००.६३१ ,००.६३१ 
हलकी ,light 
०२.९९५ ,०२.९९५ 
मादरचोद ,motherfucker 
०२.३२० ,०२.३२० 
कांग्रेसी ,congressman 
वर्धमान ,crescent 
०९.५५३ ,०९.५५३ 
०६.७५० ,०६.७५० 
अंधेरी ,Andheri 
०५.९४२ ,०५.९४२ 
०४.०५३ ,०४.०५३ 
आदर्शों ,ideals 
०७.८२१ ,०७.८२१ 
०५.६४४ ,०५.६४४ 
०२.७३२ ,०२.७३२ 
०१.१४५ ,०१.१४५ 
०२.६६० ,०२.६६० 
विघटित ,disintegrate 
हैंडलर ,handler 
न्यासियों ,trustees 
०८.७७५ ,०८.७७५ 
चुदा ,fucked 
०६.९९६ ,०६.९९६ 
पाद ,fart 
००.८०६ ,००.८०६ 
भगाने ,to drive away 
रखतीं ,keeps 
डिस्पोजेबल ,Disposable 
०८.८६१ ,०८.८६१ 
०६.३८५ ,०६.३८५ 
०२.६५६ ,०२.६५६ 
०३.९८० ,०३.९८० 
०४.३३६ ,०४.३३६ 
अटार्नी ,attorney 
०९.२६२ ,०९.२६२ 
०९.५५९ ,०९.५५९ 
०८.६६६ ,०८.६६६ 
याचिकाएं ,petitions 
०७.३३८ ,०७.३३८ 
ब्रास ,Brass 
०५.०८७ ,०५.०८७ 
०२.२२२ ,०२.२२२ 
०१.६५९ ,०१.६५९ 
प्रकाशनों ,publications 
०८.३४६ ,०८.३४६ 
दिखायी ,showed up 
विद्रोहात्मक ,rebellious 
०९.६३२ ,०९.६३२ 
०५.९१२ ,०५.९१२ 
बत्तियों ,lights 
०१.०४० ,०१.०४० 
००.९४९ ,००.९४९ 
पहुँचोगी ,reaching 
यौगिकों ,compounds 
मोबाईल ,Mobile 
०६.९५१ ,०६.९५१ 
लाऊँगी ,I will bring 
बु्क ,Book 
बॉटल ,bottle 
आजीविका ,livelihood 
रिफ्रेशमेंट ,Refreshment 
०७.४१७ ,०७.४१७ 
चौड़ा ,Wide 
रुट ,route 
हुआ.तुम ,happened.you 
पड़ोगे ,will fall 
छापा ,raid 
सपोर्ट ,support 
आओ.राहुल ,Come on.Rahul 
बात.ऐसा ,thing.like this 
मानवाधिकारों ,human rights 
चुकता ,by mistake 
कांची ,Kanchi 
मान्स ,Manse 
मैगनीशियम ,magnesium 
स्फतीय ,feldspar 
०४.०१५ ,०४.०१५ 
मोरमोंट ,mormont 
०३.८७८ ,०३.८७८ 
जीवाश्मीकृत ,fossilized 
स्ट्रीमिंग ,streaming 
सुमेलित ,matched 
उल्टियों ,vomiting 
झरने ,waterfalls 
देंगें ,will give 
हटाँएगी ,will remove 
राशिफल ,Horoscope 
बैठेगी ,will sit 
ड्रीमगर्ल ,Dream Girl 
भेंगापन ,squint 
सिल्क ,silk 
पटाएँ ,impress 
जोराह ,Zorah 
कानूनऩ ,legality 
फाँसी ,gallows 
वर्षावन ,Rainforests 
००.९१२ ,००.९१२ 
००.९५१ ,००.९५१ 
चढ़ेगी ,will climb 
मास्कोवासी ,Muscovite 
लीजिएगा ,will take 
ट्यूबों ,tubes 
चिढ़ाने ,to tease 
छेड़ना ,to tease 
बदलनी ,to change 
इंद्रिय ,sense 
छठी ,Sixth 
०३.६१६ ,०३.६१६ 
०७.९८६ ,०७.९८६ 
०८.६१४ ,०८.६१४ 
देखो.कौन ,look.who 
मैरुन ,maroon 
अंजीर ,fig 
चेयर ,chair 
भतीजे.क्या ,nephew.what 
जर्जर ,dilapidated 
जख्मी ,injured 
हड़पनेवाले ,usurpers 
इंस्टिट्यूट ,Institute 
पियेगा ,will drink 
संस्थागत ,Institutional 
चाहिए- ,Needed- 
पंजाब ,Punjab 
सारणी ,table 
आवर्त ,cycle 
शेड्यूल ,schedule 
जन्मसिद्ध ,birthright 
रहेगा-प्रिया ,will remain-priya 
जंत्री ,Jantri 
नदियां ,rivers 
पहनोगी ,will you wear 
मिच ,Mitch 
राजकुमारियों ,princesses 
०५.२७१ ,०५.२७१ 
साड़ियाँ ,sarees 
रेदर ,rether 
०२.७६६ ,०२.७६६ 
जीर्णशीर्ण ,Tattered 
प्रॉब्लम ,Problem 
०७.८८३ ,०७.८८३ 
पत्रक ,sheet 
तितर ,scatter 
जलाशयों ,reservoirs 
बितर ,scatter 
०३.८६० ,०३.८६० 
बनारसी ,Banarasi 
पोस्टमार्टम ,post mortem 
हार्कर ,harker 
ड्रेसेज ,dresses 
बोर्बा ,borba 
चिह्नों ,markings 
सुनुँगी ,will listen 
शरारतों ,pranks 
दृष्टा ,seen 
लो.देखो.तुम्हें ,look at you 
०४.९४१ ,०४.९४१ 
राजकुमारों ,princes 
जूल्स ,Jules 
०३.८९१ ,०३.८९१ 
हिम ,snow 
०५.३५७ ,०५.३५७ 
मशरूम ,mushroom 
खूऩ ,blood 
कमिश्नर ,commissioner 
पिंट ,pint 
फ़ालतू ,useless 
इलाज़ ,treatment 
कोहरा ,Fog 
गुदगुदाने ,to tickle 
००.२२९ ,००.२२९ 
इजाजत ,permission 
अंड़-बंड़ ,eggs and eggs 
मरीज़ ,patient 
लेकिऩ ,but 
संस्कारों ,rituals 
०६.४०६ ,०६.४०६ 
शक़्ल ,appearance 
नफऱत ,Hate 
रुतबे ,Status 
जलावन ,firewood 
०७.२७७ ,०७.२७७ 
खुलवाने ,to open 
०८.६५२ ,०८.६५२ 
किेए ,did 
०८.९७८ ,०८.९७८ 
कैथलिक्स ,Catholics 
खायेगी ,will eat 
कोर्टेज़ ,Cortez 
फ़ादर ,father 
समझाकर ,by explaining 
ढोकर ,carrying 
अवस्था ,condition 
भांप ,Steam 
हँसता ,laughs 
तमा ,Tama 
छेडें ,pierced 
आपना ,yours 
उच्चतर ,higher 
स्क्रबिंग ,scrubbing 
ट्रैकसूट ,tracksuit 
बालू ,Sand 
ग्रॉट्बैग ,grotbag 
साफ-साफ ,clearly 
नादान् ,Ignorance 
कम्युनल ,communal 
दख ,Dakh 
प्लॉंक ,plonk 
लगांए ,put in 
चढ़ें ,climb up 
मोड़ों ,turns 
घाटियां ,valleys 
डस्टिन ,Dustin 
सैंकड़ों ,hundreds 
उत्तरवासी ,northerners 
एंटी-राहुल ,Anti-Rahul 
मैँ ,i 
गिली ,Gilly 
ऊबड़ ,bumpy 
०७.८७० ,०७.८७० 
टैब ,tab 
टिलर ,Tiller 
चूड़ियों ,bangles 
चपाती ,chapati 
पेलेयोजोईक ,Paleozoic 
खाएगा ,will eat 
असंतुष्ट ,dissatisfied 
बहत्तर ,seventy two 
श्रावणी ,Shravani 
अड़तालीस ,Forty-eight 
०९.४६८ ,०९.४६८ 
अड़चन ,Hitch 
घुंघराले ,curly 
ड्रोगो ,Drogo 
जवाहरात ,gems 
चीखोगे ,you will scream 
ऊठा ,raised up 
०४.३६७ ,०४.३६७ 
०७.७४२ ,०७.७४२ 
०९.३२८ ,०९.३२८ 
कवक ,fungus 
हीटिंग ,heating 
चूडिया ,bangle 
चूडि़या ,bangle 
भूवैज्ञानिक ,Geologist 
अरुचिकर ,distasteful 
गाड़ियां ,Cars 
मुहुर्त ,auspicious time 
पीटते ,Beating 
रूस्टर ,Rooster 
खुदखुशी ,suicide 
गन्दा ,dirty 
स्टूल ,stool 
लिटाओ ,lay down 
लेंगें ,will take 
झुकाकर ,by bending 
सलाख ,bar 
बारात ,procession 
०१.२९६ ,०१.२९६ 
ख्वाहिश ,desire 
राहुलl ,Rahul 
लड्डू ,A type of sweet 
हिलते ,shaking 
फिगर ,figure 
एमडीएस ,mds 
पड़नेवाला ,about to fall 
ज्वेलर्स ,Jewelers 
०३.८४४ ,०३.८४४ 
भययोग्य ,terrible 
मेंढ़कों ,frogs 
विलंब ,delay 
रेकजाविक ,Reykjavik 
शाट ,shot 
उड़ाँए ,fly away 
०६.७७२ ,०६.७७२ 
०७.८५५ ,०७.८५५ 
उड़ाना ,to blow 
शिकंजा ,screws 
भक्त ,Devotee 
-क्या ,-What 
जाउँगा ,will go 
रिवाल्वर ,revolver 
०३.३०८ ,०३.३०८ 
होंगे-तो ,will be-then 
०३.४७८ ,०३.४७८ 
अपवित्रा ,impure 
०६.००६ ,०६.००६ 
पण्डितों ,pundits 
अक्षम्य ,unforgivable 
आक्रांत ,having anger 
धीर ,Patience 
तस ,So 
अपराधबोध ,guilty feeling 
गरर ,Garr 
षडयंत्रकारी ,conspirator 
बून ,Boone 
०४.४७३ ,०४.४७३ 
०४.४४९ ,०४.४४९ 
है.समझ ,have.understand 
न्यूजीलैंड ,New Zealand 
दौड़ोगे ,will run 
त्रिवेन्द्रम ,Trivandrum 
०१.८२२ ,०१.८२२ 
स्र्दन ,shivering 
कंकड़ ,pebbles 
बताँए ,tell me 
०२.७५४ ,०२.७५४ 
सन्यासी ,Hermit 
सँवर ,beautified 
०३.५४४ ,०३.५४४ 
०७.०१२ ,०७.०१२ 
पहनाया ,wore 
बढ़ाते ,increasing 
चट्टानें ,rocks 
०७.३२० ,०७.३२० 
मुल्जिम ,the accused 
झोपड़ियों ,huts 
दुबला ,lean 
देवदूत ,angel 
बागान ,gardens 
बेपनाह ,unsurpassed 
रसदार ,Juicy 
सितम्बर ,September 
सीलोन ,ceylon 
जलाता ,burns 
इंद्र ,Indra 
काँपने ,to tremble 
मैं-एक ,i-one 
०७.४६७ ,०७.४६७ 
०७.१८४ ,०७.१८४ 
मस्का ,Smile 
०३.०१५ ,०३.०१५ 
०३.९३८ ,०३.९३८ 
भगवान् ,God 
०४.८०६ ,०४.८०६ 
०३.८८२ ,०३.८८२ 
०८.२०३ ,०८.२०३ 
०२.३७५ ,०२.३७५ 
०८.२२६ ,०८.२२६ 
०२.२४४ ,०२.२४४ 
हाथियों ,elephants 
छतें ,roofs 
चीतों ,cheetahs 
इन्कार ,denial 
कन्फर्म ,confirm 
नॉर्थम्बरलैंड ,Northumberland 
००.४२४ ,००.४२४ 
नोर्वे ,norway 
कंफर्म ,confirmed 
दुआ ,Supplication 
ओस्लो ,Oslo 
क्रियाएँ ,the verbs 
नार्वे ,norwegian 
०२.६६४ ,०२.६६४ 
पीईटी ,PET 
रुका ,stopped 
मेन ,Main 
जनक ,parent 
खोटा ,false 
बादबानी ,reefer 
हस्ताक्षरित ,Signed 
शत्रुघ्न ,Shatrughan 
भरत ,Bharat 
शॉपिंग-मॉल ,Shopping Mall 
इसे-ठीक ,it-fix 
लॉक-अप ,lock-up 
०६.८६१ ,०६.८६१ 
शाइन ,shine 
ताकत़ ,strength 
०२.६६६ ,०२.६६६ 
०३.१३५ ,०३.१३५ 
०७.८९९ ,०७.८९९ 
परेशानियाँ ,troubles 
ना-हाँ ,no-yes 
०८.५५८ ,०८.५५८ 
बनके ,becoming 
तराशुंगा ,carved out 
बाबर ,Babar 
मुगल ,Mughal 
छेड़ेगा ,will tease 
कहेगी ,will say 
पन्डु-मेरी ,Pandu-Meri 
००.७५५ ,००.७५५ 
ढूंढूगा ,will search 
संकेतों ,signals 
निगेटिव ,negative 
चुपे ,shut up 
०२.१७१ ,०२.१७१ 
०६.४९९ ,०६.४९९ 
खोजूँगा ,will search 
न्यूकासल ,newcastle 
घऱ ,home 
उपहास ,ridicule 
०६.६३५ ,०६.६३५ 
समझेगी ,will understand 
मनाऊँगा ,will celebrate 
टहल ,walk 
पड़ूँगा ,I will fall 
वानिकी ,forestry 
दुविधा ,Dilemma 
०९.९१७ ,०९.९१७ 
०१.७२३ ,०१.७२३ 
फ्रेंडस ,friends 
रामायण ,Ramayana 
०२.९३० ,०२.९३० 
वाल्मीकि-.-वाल्मीकि. ,Valmiki-.-Valmiki. 
०५.७४२ ,०५.७४२ 
सास ,Mother in law 
ढूंढा ,searched for 
संपऩ्न ,finished 
बग़ल ,sideways 
है. ,Is. 
ब्लिप ,blip 
०६.६७८ ,०६.६७८ 
आइसलैंड ,iceland 
रिलेक्स ,Relax 
पसन्द ,like 
राहूल ,Rahul 
बंग ,Bang 
संख्याओं ,numbers 
केन्द्रापसारक ,centrifugal 
०४.७०४ ,०४.७०४ 
भौतिकी ,physics 
अन्वेषक ,the investigator 
गंधा ,nifty 
आईईटी ,IET 
बढ़ाओगे ,will increase 
उगाया ,grew up 
चैत्र ,Chaitra 
००.९४३ ,००.९४३ 
०१.६१७ ,०१.६१७ 
बृहस्पतिवार ,thursday 
गौतम ,Gautam 
०५.६३१ ,०५.६३१ 
लातविया ,latvia 
स्नोडॉन ,snowdon 
पीड़ादायक ,Sore 
किंगडम ,Kingdom 
विश्वसनीय ,Reliable 
अह ,ahh 
उगाता ,grows 
०३.४७२ ,०३.४७२ 
छानी ,chose 
खलनायक-ous ,villain-ous 
०५.१७७ ,०५.१७७ 
बेकर ,Baker 
०६.३२८ ,०६.३२८ 
रक्तरंजित ,bloody 
यकीऩ ,Sure 
खर्चों ,expenses 
किस्मतवाली ,lucky one 
०६.१०१ ,०६.१०१ 
सेना.-वानर ,Army.-Monkey 
कोलोन ,cologne 
सुग्रीव ,Sugriva 
पट ,fold 
किडनी ,kidney 
कहेंगें ,will say 
लुओ ,luo 
सोई ,Comfort 
सोमालियाई ,somali 
समझेंगे ,will understand 
पंसारी ,grocer 
बर्फीली-ठंडी ,icy-cold 
०७.९८१ ,०७.९८१ 
बकना ,babble 
सीनू ,Seenu 
युग्मित ,coupled 
निर्मोक ,release 
जवाऩ ,young man 
ख्याति ,reputation 
है.-. ,Is.-. 
०६.४८८ ,०६.४८८ 
माइल ,miles 
शांती ,the peace 
क्वाटर ,Quarter 
कंपनियाँ ,companies 
सब्जियाँ ,Vegetables 
रिलांइस ,Reliance 
हंसना ,Laugh at 
अंबानी ,Ambani 
श्रृंगार ,makeup 
बारों ,bars 
किकुयू ,kikuyu 
रुककर ,after stopping 
गूदी ,Goody 
०१.३६९ ,०१.३६९ 
०२.६०७ ,०२.६०७ 
०५.२८३ ,०५.२८३ 
०७.९७४ ,०७.९७४ 
गिल्डा ,gilda 
०१.०७५ ,०१.०७५ 
करारा ,sharp 
नौबढ़ ,Naubadh 
जानकारियों ,informations 
पहुचना ,arriving 
रसूख ,influence 
हारमोनिका ,harmonica 
सुपरस्टार ,supper star 
अंधकारमय ,dark 
फँसाया ,trapped 
खेप ,consignment 
दबावों ,pressures 
क्लीन ,clean 
कंसोल ,console 
अवलोकन ,observation 
वार्महोल ,wormhole 
दिखायेंगे ,will show 
अनुसन्धान ,Research 
आके ,come 
समान्तर ,parallel 
जैविकता ,organicity 
बिताएंगे ,will spend 
संदर्भों ,references 
न्यूट्रान ,neutron 
आधारभूत ,basic 
नाराज़गी ,heartburn 
बैश ,bash 
त्रि-आयाम ,three-dimensional 
हरिनी ,Harini 
सेथुमाधवन ,Sethumadhavan 
उदाहरणों ,examples 
बाख ,Bach 
घुमा ,twist 
उतारूंगा ,will take off 
ब्लूटूथ ,Bluetooth 
खप ,consumption 
पश्चातापी ,penitent 
मधु ,honey 
आरई ,RE 
टीएएस-टिक ,TAS-TICK 
पढ़ाया ,taught 
एन्जिल्स ,Angels 
पेस्ट ,paste 
पहाड़ ,Mountain 
एकतरह ,a kind 
उपभोग ,Consumption 
कैश्ड ,cached 
पहुचाये ,delivered 
हमतक ,till us 
सिकुड़ ,shrink 
फ़ैल ,spread 
एपिसोड ,episode 
पहुचेंगे ,will reach 
गूंजता ,resonates 
मिनीट ,minute 
पैंतालिस ,forty five 
मैन्युअल ,manual 
लव-टैटू ,love tattoo 
अभिलेखों ,records 
गर्लफ्रैंड ,girlfriend 
लहरें ,waves 
पहाड़ियां ,the hills 
स्राव ,discharge 
ओवरलैप ,overlap 
थूको ,of spit 
हंअ ,yes 
तारामंडल ,constellation 
टोफ़ू ,tofu 
रेंगनेवाले ,creepers 
टूना ,Tuna 
बरताव ,behavior 
घुमाव ,rotation 
सेकेण्ड ,Sec 
थोड़ा-बहुत ,a little bit 
मीनीटस ,Minutes 
जज्बाती ,emotional 
ईतना ,so much 
इमानदारी ,Honesty 
लीं ,took 
गुजारने ,to pass 
खीचो ,pull 
कण्ट्रोल ,control 
दुकानवाली ,shopkeeper 
कीतनी ,how much 
बतखें ,ducks 
गुज़रीं ,passed away 
भरपाया ,reimbursed 
कीताबों ,books 
इसीलीये ,that's why 
पहुचाया ,delivered 
यादो ,memories 
हेह्ह ,hehhh 
उतेजीत ,excited 
इसलीए ,therefore 
लतियाते ,latiaate 
लतियाना ,addicted to 
मार-पीट ,Beating 
टोटम ,totem 
आइंस्टीन ,Einstein 
मीनीट ,minute 
पंजे ,claws 
अख्तियार ,Authority 
खोजकर्ता ,the searcher 
गिरते ,falling 
आँकना ,evaluate 
अल्युमिनियम ,aluminum 
अड़ियल ,obstinate 
रिकार्डिंग ,recording 
पहुचे ,arrived 
गुरूओं ,gurus 
गजब ,Amazing 
उपलक्ष्य ,celebration 
चीरफाड़ ,dissection 
सुपुर्द ,handed over 
मृग ,deer 
जांबाज़ ,Brave 
कुदरत ,Nature 
शैतानियत ,satanism 
तकलीफों ,hardships 
मसलन ,For example 
वैज्ञानीक ,the scientist 
सफ़र ,travel 
हैरत ,surprise 
इनमे ,in these 
अनुदेशों ,instructions 
तलाशना ,to explore 
तूफ़ानी ,windy 
मीलेगा ,will get 
लौटोगे ,will return 
कलाबाज़ी ,somersault 
अभीवादन ,greetings now 
यु ,U 
संदेशो ,messages 
बंबई ,Bombay 
आईफ़ोन ,iPhone 
ज्वारीय ,tidal 
लेकन ,but 
मदों ,items 
झाँक ,peek 
बालाजी ,Balaji 
दरी ,the valley 
फीलिंग ,feeling 
भगदड़ ,Stampede 
अलंगनल्लूर ,Alanganallur 
फसें ,trapped 
ढूँढोगी ,will find 
नजरिया ,perspective 
रोलेक्स ,rolex 
एजी ,AG 
बनवाते ,getting made 
सीप ,skills 
बचूंगा ,I will survive 
लकिन ,But 
चलाये ,run 
सूचनाएँ ,Notifications 
क्रिस्टलाइन ,crystalline 
हाइड्रोकार्बोंस ,hydrocarbons 
क्लोरीन ,chlorine 
प्रतिस्पर्धियों ,competitors 
साडी ,saree 
अस्वीकृति ,rejection 
क्षारीय ,alkaline 
तमिलों ,tamils 
फाई ,fi 
पुकारने ,to call 
ट्रेलर ,trailer 
बहन-जी ,Sister 
मानोगे ,will you agree 
दोषमुक्त ,blameless 
उदहारण ,example 
हालातो ,conditions 
मिशनो ,missions 
खांसते ,coughing 
जज्बात ,emotion 
निर्भीकता ,boldness 
चंडीगढ़ ,Chandigarh 
छक्का ,Six 
गौरवान्वित ,proud 
बनकर ,be made 
इंजिनियर ,Engineer 
लोंग ,clove 
ऑपरेटिव ,operative 
कोरल ,Coral 
स्थितियां ,conditions 
मूंगा ,Coral 
छेदा ,pierced 
मिठाइयां ,sweets 
बस्तियों ,settlements 
अभिलेखीय ,archival 
चुंधियाना ,to squint 
दुलार ,Care ness 
झागदार ,foamy 
क्यु ,Q 
मायके ,Maternal home 
ऑप्टिकल ,Optical 
प्रलोभित ,seduced 
अविवादित ,undisputed 
सुधरा ,improved 
प्रिंटों ,prints 
तानाशाही ,Dictatorship 
निषिद्ध ,prohibited 
संतृप्ति ,Saturation 
आसार ,chances 
अंतरतारकीय ,interstellar 
प्रतीक्षित ,awaited 
बनिए ,become 
विनिर्माण ,manufacturing 
रिवेट ,rivet 
जन्मों ,births 
भटकती ,Wandering 
वाल्ट्ज़ ,waltz 
सम्पादित ,Edited 
गुंजार ,humming 
तलहटी ,foothills 
हिप्पोकैम्पस ,hippocampus 
पालियों ,lobes 
पहुचाते ,would deliver 
हरदम ,hardam 
दफनाते ,burying 
रेट्रोग्रेड ,retrograde 
एम्नेसिया ,Amnesia 
करियेगा ,will do 
तैराक ,swimmer 
सर्जनों ,surgeons 
रिकोर्डिंग ,recording 
नोंक ,tip 
क्लेन ,klein 
समयकाल ,period of time 
कप्तानों ,captains 
सद्दाम ,Saddam 
निर्जीव ,inanimate 
बेकाबू ,out of control 
संभावनाएँ ,possibilities 
प्रारम्भ ,start 
बढना ,grow up 
बूझते ,understanding 
आंकलन ,assessment 
फेफड़ो ,lungs 
थाईलैंड ,Thailand 
रुकोगी ,Wait 
रुपरेखा ,outline 
उतेजित ,excited 
अन्तिक्ष ,Antix 
क्वालालंपुर ,kuala lumpur 
खिंची ,pulled 
अनहोनी ,untoward 
टॉस ,toss 
होशोहवास ,Consciousness 
पुरावशेष ,antiquities 
बुलाएं ,call 
एमपी ,MP 
कांस्य ,A bronze 
जयशंकर ,Jaishankar 
अविष्कार ,the invention 
बोआ ,Boa 
सपेरा ,snake charmer 
विदेशों ,foreign countries 
स्रावित ,secreted 
मुड़े ,turned 
धूमकेतुओं ,comets 
बुद्धिमत्ता ,Intelligence 
ग्रहिकाओं ,asteroids 
दूसरो ,others 
शाबाशी ,well done 
आनुवांशिक ,genetic 
टूटा-फूटा ,broken down 
छेड़ ,tease 
जज़्बा ,passion 
ग्रंपी ,Grumpy 
ताकीद ,warning 
शाव ,Cub 
सदुपयोग ,good use 
बाशिंदे ,residents 
रोककर ,by stopping 
अनसुना ,Unheard 
खिलाऊँगा ,I will feed 
नज़रअंदाज़ ,ignore 
चूकेगा ,will miss 
थोरैक्स ,thorax 
बँटाओ ,share out 
अचंभे ,surprise 
निस्वार्थी ,Selfless 
शांतिस्थापक ,peacemaker 
उठते ,getting up 
लुढ़क ,rolled 
गूँजता ,echoes 
गहराइयों ,depths 
वाल्हाला ,Valhalla 
यशगान ,Praise 
प्रचंडता ,ferocity 
वैल्किरीस ,Valkyries 
लुढ़को ,roll over 
कैननबॉल ,cannonball 
जीतनी ,to win 
खयालों ,thoughts 
घूरे ,stare at 
ढका ,covered 
जुटाना ,to mobilize 
बढ़कर ,Above 
डूम ,Doom 
पांडित्य ,erudition 
थामकर ,holding on 
खटखटाता ,knocking 
लिखाई ,writing 
घनिष्ठतम ,the closest 
हिलाकर ,by shaking 
गुरुओं ,gurus 
चुराता ,steals 
पत्री ,Letter 
मुख ,the mouth 
गुरूजी ,Guruji 
तुड़वा ,dance of fury 
अवस्थिति ,location 
पत्थरदिली ,stone hearted 
ताउम्र ,lifespan 
लफ़्ज़ों ,words 
त्रिक ,triple 
स्याह ,black 
रोयाँ ,hairs 
उंची ,height 
पावमाल ,pavmaal 
सेनाएँ ,armies 
लुढ़कना ,to roll 
दरियादिली ,generosity 
थोड़ा-थोड़ा ,little by little 
रिबन ,ribbon 
100वें ,100th 
बनवाई ,made 
